id,firstName,lastName,team,season,positionCode,heightInInches,weightInPounds
8478870,Rudolfs,Balcers,TBL,20222023,L,71,182
8479718,Alex,Barré-Boulet,TBL,20222023,C,70,180
8477930,Pierre-Edouard,Bellemare,TBL,20222023,L,71,198
8478519,Anthony,Cirelli,TBL,20222023,C,72,189
8479525,Ross,Colton,TBL,20222023,C,72,194
8479591,Michael,Eyssimont,TBL,20222023,C,72,180
8480863,Gabriel,Fortier,TBL,20222023,L,70,177
8479542,Brandon,Hagel,TBL,20222023,L,74,179
8479661,Tanner,Jeannot,TBL,20222023,L,74,208
8473986,Alex,Killorn,TBL,20222023,L,73,194
8481043,Cole,Koepke,TBL,20222023,L,73,196
8476453,Nikita,Kucherov,TBL,20222023,R,71,181
8474034,Pat,Maroon,TBL,20222023,L,75,234
8476480,Vladislav,Namestnikov,TBL,20222023,C,72,179
8477426,Nicholas,Paul,TBL,20222023,L,75,223
8470621,Corey,Perry,TBL,20222023,R,75,208
8478010,Brayden,Point,TBL,20222023,C,71,180
8474564,Steven,Stamkos,TBL,20222023,C,72,182
8474567,Zach,Bogosian,TBL,20222023,D,74,222
8478416,Erik,Cernak,TBL,20222023,D,76,224
8474013,Ian,Cole,TBL,20222023,D,73,225
8477938,Haydn,Fleury,TBL,20222023,D,76,208
8479984,Cal,Foote,TBL,20222023,D,77,224
8475167,Victor,Hedman,TBL,20222023,D,79,244
8479026,Philippe,Myers,TBL,20222023,D,78,219
8480246,Nick,Perbix,TBL,20222023,D,74,191
8478178,Darren,Raddysh,TBL,20222023,D,73,200
8479410,Mikhail,Sergachev,TBL,20222023,D,73,217
8470880,Brian,Elliott,TBL,20222023,G,74,221
8476883,Andrei,Vasilevskiy,TBL,20222023,G,76,220
8476326,Josh,Archibald,PIT,20222023,R,70,176
8476927,Teddy,Blueger,PIT,20222023,C,72,185
8474009,Nick,Bonino,PIT,20222023,C,73,195
8479465,Drake,Caggiula,PIT,20222023,C,70,176
8470604,Jeff,Carter,PIT,20222023,C,75,219
8471675,Sidney,Crosby,PIT,20222023,C,71,200
8475798,Mikael,Granlund,PIT,20222023,C,70,185
8480836,Jonathan,Gruden,PIT,20222023,C,72,172
8477404,Jake,Guentzel,PIT,20222023,L,71,180
8480842,Filip,Hallander,PIT,20222023,C,73,190
8478046,Danton,Heinen,PIT,20222023,L,73,188
8477953,Kasperi,Kapanen,PIT,20222023,R,73,194
8471215,Evgeni,Malkin,PIT,20222023,C,75,195
8476934,Brock,McGinn,PIT,20222023,L,72,187
8479423,Alexander,Nylander,PIT,20222023,L,73,192
8482055,Drew,O'Connor,PIT,20222023,L,75,200
8480068,Ryan,Poehling,PIT,20222023,C,74,196
8481591,Sam,Poulin,PIT,20222023,R,73,208
8476483,Rickard,Rakell,PIT,20222023,R,73,195
8475810,Bryan,Rust,PIT,20222023,R,71,192
8475722,Jason,Zucker,PIT,20222023,L,71,192
8475208,Brian,Dumoulin,PIT,20222023,D,76,207
8476166,Taylor,Fedun,PIT,20222023,D,73,200
8478017,Mark,Friedman,PIT,20222023,D,71,185
8480058,Pierre-Olivier,Joseph,PIT,20222023,D,74,185
8475179,Dmitry,Kulikov,PIT,20222023,D,73,201
8471724,Kris,Letang,PIT,20222023,D,72,201
8473507,Jeff,Petry,PIT,20222023,D,75,209
8477969,Marcus,Pettersson,PIT,20222023,D,75,177
8477244,Chad,Ruhwedel,PIT,20222023,D,71,191
8480172,Jan,Rutta,PIT,20222023,D,75,204
8480883,Ty,Smith,PIT,20222023,D,71,180
8479193,Casey,DeSmith,PIT,20222023,G,72,181
8477465,Tristan,Jarry,PIT,20222023,G,74,194
8474682,Dustin,Tokarski,PIT,20222023,G,72,198
8478020,Michael,Amadio,VGK,20222023,R,73,204
8477964,Ivan,Barbashev,VGK,20222023,C,73,195
8476927,Teddy,Blueger,VGK,20222023,C,72,185
8477478,William,Carrier,VGK,20222023,L,74,218
8481032,Paul,Cotter,VGK,20222023,C,74,212
8481604,Pavel,Dorofeyev,VGK,20222023,L,73,194
8478403,Jack,Eichel,VGK,20222023,C,74,207
8475278,Byron,Froese,VGK,20222023,C,73,202
8479353,Brett,Howden,VGK,20222023,C,74,203
8476448,William,Karlsson,VGK,20222023,C,72,190
8473548,Phil,Kessel,VGK,20222023,R,71,208
8478434,Keegan,Kolesar,VGK,20222023,R,74,217
8479991,Jake,Leschyshyn,VGK,20222023,C,71,195
8476539,Jonathan,Marchessault,VGK,20222023,R,69,183
8480776,Sheldon,Rempal,VGK,20222023,R,70,165
8480007,Jonas,Rondbjerg,VGK,20222023,R,74,203
8478462,Nicolas,Roy,VGK,20222023,C,76,202
8475191,Reilly,Smith,VGK,20222023,R,73,185
8476905,Chandler,Stephenson,VGK,20222023,C,72,209
8475913,Mark,Stone,VGK,20222023,R,75,217
8479980,Nicolas,Hague,VGK,20222023,D,78,230
8477018,Ben,Hutton,VGK,20222023,D,75,201
8481527,Kaedan,Korczak,VGK,20222023,D,75,202
8474166,Alec,Martinez,VGK,20222023,D,73,210
8475188,Brayden,McNabb,VGK,20222023,D,76,215
8482624,Daniil,Miromanov,VGK,20222023,D,76,200
8481167,Brayden,Pachal,VGK,20222023,D,74,203
8474565,Alex,Pietrangelo,VGK,20222023,D,75,215
8477447,Shea,Theodore,VGK,20222023,D,74,197
8480727,Zach,Whitecloud,VGK,20222023,D,74,207
8476316,Laurent,Brossoit,VGK,20222023,G,75,215
8478499,Adin,Hill,VGK,20222023,G,76,215
8480238,Jiri,Patera,VGK,20222023,G,74,209
8471734,Jonathan,Quick,VGK,20222023,G,73,220
8480313,Logan,Thompson,VGK,20222023,G,76,205
8478427,Sebastian,Aho,CAR,20222023,C,72,176
8480835,Jack,Drury,CAR,20222023,C,71,174
8475855,Jesper,Fast,CAR,20222023,R,73,191
8482093,Seth,Jarvis,CAR,20222023,C,70,175
8478131,Ondrej,Kase,CAR,20222023,R,72,187
8480829,Jesperi,Kotkaniemi,CAR,20222023,C,74,201
8476907,Mackenzie,MacEachern,CAR,20222023,L,74,193
8476921,Jordan,Martinook,CAR,20222023,L,72,196
8480039,Martin,Necas,CAR,20222023,C,74,189
8476474,Stefan,Noesen,CAR,20222023,R,73,205
8474157,Max,Pacioretty,CAR,20222023,L,74,217
8479344,Jesse,Puljujarvi,CAR,20222023,R,76,201
8473533,Jordan,Staal,CAR,20222023,C,76,220
8471669,Paul,Stastny,CAR,20222023,C,72,193
8474613,Derek,Stepan,CAR,20222023,C,71,196
8480830,Andrei,Svechnikov,CAR,20222023,R,74,195
8476882,Teuvo,Teravainen,CAR,20222023,L,71,191
8470613,Brent,Burns,CAR,20222023,D,77,230
8478970,Jalen,Chatfield,CAR,20222023,D,73,188
8479639,Dylan,Coghlan,CAR,20222023,D,74,208
8475177,Calvin,de Haan,CAR,20222023,D,73,195
8476906,Shayne,Gostisbehere,CAR,20222023,D,71,180
8479320,Max,Lajoie,CAR,20222023,D,73,196
8477488,Brett,Pesce,CAR,20222023,D,75,206
8476869,Brady,Skjei,CAR,20222023,D,75,210
8476958,Jaccob,Slavin,CAR,20222023,D,75,207
8475883,Frederik,Andersen,CAR,20222023,G,76,238
8481611,Pyotr,Kochetkov,CAR,20222023,G,75,205
8477293,Antti,Raanta,CAR,20222023,G,72,195
8481720,Nick,Abruzzese,TOR,20222023,C,71,183
8478569,Noel,Acciari,TOR,20222023,C,70,209
8479315,Joey,Anderson,TOR,20222023,R,72,207
8479944,Zach,Aston-Reese,TOR,20222023,C,73,205
8477979,Nicolas,Aube-Kubel,TOR,20222023,R,72,207
8478047,Michael,Bunting,TOR,20222023,L,72,192
8475160,Kyle,Clifford,TOR,20222023,L,74,217
8480977,Semyon,Der-Arguchintsev,TOR,20222023,C,70,173
8478115,Pierre,Engvall,TOR,20222023,L,77,219
8480995,Pontus,Holmberg,TOR,20222023,R,72,202
8478211,Dryden,Hunt,TOR,20222023,L,72,193
8475714,Calle,Jarnkrok,TOR,20222023,C,72,192
8480144,David,Kampf,TOR,20222023,C,74,197
8477021,Alex,Kerfoot,TOR,20222023,C,71,186
8482720,Matthew,Knies,TOR,20222023,L,74,210
8478043,Sam,Lafferty,TOR,20222023,C,73,195
8478843,Denis,Malgin,TOR,20222023,C,69,182
8478483,Mitch,Marner,TOR,20222023,R,72,181
8479318,Auston,Matthews,TOR,20222023,C,75,208
8482259,Bobby,McMann,TOR,20222023,C,74,208
8477939,William,Nylander,TOR,20222023,R,72,204
8475158,Ryan,O'Reilly,TOR,20222023,C,73,207
8481582,Nicholas,Robertson,TOR,20222023,L,69,183
8474190,Wayne,Simmonds,TOR,20222023,R,74,184
8482634,Alex,Steeves,TOR,20222023,C,72,196
8475166,John,Tavares,TOR,20222023,C,73,216
8482241,Radim,Zohorna,TOR,20222023,L,78,220
8474818,Jordie,Benn,TOR,20222023,D,74,201
8474673,TJ,Brodie,TOR,20222023,D,74,187
8470966,Mark,Giordano,TOR,20222023,D,72,205
8476979,Erik,Gustafsson,TOR,20222023,D,72,197
8475718,Justin,Holl,TOR,20222023,D,75,197
8480439,Mac,Hollowell,TOR,20222023,D,69,170
8480820,Filip,Kral,TOR,20222023,D,74,198
8480043,Timothy,Liljegren,TOR,20222023,D,73,192
8476931,Jake,McCabe,TOR,20222023,D,73,204
8479376,Victor,Mete,TOR,20222023,D,69,187
8474162,Jake,Muzzin,TOR,20222023,D,75,227
8476853,Morgan,Rielly,TOR,20222023,D,73,222
8480873,Rasmus,Sandin,TOR,20222023,D,71,182
8474568,Luke,Schenn,TOR,20222023,D,74,225
8479982,Conor,Timmins,TOR,20222023,D,74,202
8483183,Jett,Alexander,TOR,20222023,G,77,214
8478902,Erik,Kallgren,TOR,20222023,G,75,200
8476899,Matt,Murray,TOR,20222023,G,77,203
8478492,Ilya,Samsonov,TOR,20222023,G,75,214
8479361,Joseph,Woll,TOR,20222023,G,75,203
8470638,Patrice,Bergeron,BOS,20222023,C,73,196
8477479,Tyler,Bertuzzi,BOS,20222023,L,73,186
8475745,Charlie,Coyle,BOS,20222023,C,75,223
8478498,Jake,DeBrusk,BOS,20222023,L,72,197
8473422,Nick,Foligno,BOS,20222023,L,72,210
8479365,Trent,Frederic,BOS,20222023,C,75,214
8478421,A.J.,Greer,BOS,20222023,L,75,208
8475791,Taylor,Hall,BOS,20222023,L,73,210
8477903,Garnet,Hathaway,BOS,20222023,R,75,208
8479533,Joona,Koppanen,BOS,20222023,L,77,216
8471276,David,Krejci,BOS,20222023,C,72,192
8480880,Jakub,Lauko,BOS,20222023,C,72,196
8479968,Vinni,Lettieri,BOS,20222023,C,70,184
8473419,Brad,Marchand,BOS,20222023,L,69,176
8483397,Marc,McLaughlin,BOS,20222023,C,72,203
8477931,Tomas,Nosek,BOS,20222023,L,75,205
8477956,David,Pastrnak,BOS,20222023,R,73,195
8475225,Craig,Smith,BOS,20222023,C,72,204
8479546,Oskar,Steen,BOS,20222023,C,70,193
8480021,Jack,Studnicka,BOS,20222023,C,73,187
8475780,Chris,Wagner,BOS,20222023,R,72,192
8478401,Pavel,Zacha,BOS,20222023,C,76,199
8478443,Brandon,Carlo,BOS,20222023,D,78,218
8476941,Connor,Carrick,BOS,20222023,D,70,198
8477365,Connor,Clifton,BOS,20222023,D,71,190
8475762,Derek,Forbort,BOS,20222023,D,76,208
8476891,Matt,Grzelcyk,BOS,20222023,D,70,176
8476854,Hampus,Lindholm,BOS,20222023,D,76,215
8479325,Charlie,McAvoy,BOS,20222023,D,73,209
8475200,Dmitry,Orlov,BOS,20222023,D,71,214
8476422,Mike,Reilly,BOS,20222023,D,73,196
8479252,Dan,Renouf,BOS,20222023,D,73,198
8471873,Anton,Stralman,BOS,20222023,D,71,193
8478415,Jakub,Zboril,BOS,20222023,D,73,201
8476234,Keith,Kinkaid,BOS,20222023,G,74,195
8480280,Jeremy,Swayman,BOS,20222023,G,74,194
8476999,Linus,Ullmark,BOS,20222023,G,77,212
8474150,Mikael,Backlund,CGY,20222023,C,72,206
8476399,Blake,Coleman,CGY,20222023,C,71,199
8482679,Matt,Coronato,CGY,20222023,R,70,183
8479346,Dillon,Dube,CGY,20222023,C,71,185
8482652,Walker,Duehr,CGY,20222023,R,74,210
8476456,Jonathan,Huberdeau,CGY,20222023,C,73,200
8475172,Nazem,Kadri,CGY,20222023,C,72,185
8473453,Trevor,Lewis,CGY,20222023,C,73,201
8477496,Elias,Lindholm,CGY,20222023,C,73,202
8473473,Milan,Lucic,CGY,20222023,L,75,240
8478233,Andrew,Mangiapane,CGY,20222023,L,70,184
8481592,Jakob,Pelletier,CGY,20222023,L,69,170
8479547,Matthew,Phillips,CGY,20222023,C,67,140
8476439,Brett,Ritchie,CGY,20222023,R,76,215
8477941,Nick,Ritchie,CGY,20222023,L,75,236
8479291,Kevin,Rooney,CGY,20222023,C,74,190
8480008,Adam,Ruzicka,CGY,20222023,C,76,215
8475726,Tyler,Toffoli,CGY,20222023,R,72,203
8482241,Radim,Zohorna,CGY,20222023,L,78,220
8478397,Rasmus,Andersson,CGY,20222023,D,73,202
8480084,Nick,DeSimone,CGY,20222023,D,74,185
8478502,Dennis,Gilbert,CGY,20222023,D,74,216
8478396,Noah,Hanifin,CGY,20222023,D,75,207
8482067,Connor,Mackey,CGY,20222023,D,74,197
8479442,Troy,Stecher,CGY,20222023,D,70,184
8474628,Michael,Stone,CGY,20222023,D,75,210
8475690,Chris,Tanev,CGY,20222023,D,74,193
8477346,MacKenzie,Weegar,CGY,20222023,D,72,206
8477507,Nikita,Zadorov,CGY,20222023,D,78,248
8474593,Jacob,Markstrom,CGY,20222023,G,78,207
8478435,Dan,Vladar,CGY,20222023,G,77,209
8481692,Dustin,Wolf,CGY,20222023,G,72,166
8479994,Jaret,Anderson-Dolan,LAK,20222023,C,71,200
8480072,Lias,Andersson,LAK,20222023,C,73,185
8478042,Viktor,Arvidsson,LAK,20222023,R,70,185
8482124,Quinton,Byfield,LAK,20222023,C,77,220
8476479,Phillip,Danault,LAK,20222023,C,73,200
8481239,Samuel,Fagemo,LAK,20222023,L,72,200
8477942,Kevin,Fiala,LAK,20222023,L,70,204
8479336,Carl,Grundstrom,LAK,20222023,R,72,195
8480113,Alex,Iafallo,LAK,20222023,L,72,200
8481560,Arthur,Kaliyev,LAK,20222023,R,74,210
8477960,Adrian,Kempe,LAK,20222023,R,74,200
8471685,Anze,Kopitar,LAK,20222023,C,75,225
8480845,Rasmus,Kupari,LAK,20222023,C,74,200
8477962,Brendan,Lemieux,LAK,20222023,L,73,215
8481481,Blake,Lizotte,LAK,20222023,C,69,170
8479772,Zack,MacEwen,LAK,20222023,C,75,205
8479675,Trevor,Moore,LAK,20222023,L,70,195
8481532,Alex,Turcotte,LAK,20222023,C,71,185
8480014,Gabriel,Vilardi,LAK,20222023,R,75,215
8479998,Mikey,Anderson,LAK,20222023,D,72,195
8481600,Tobias,Bjornfot,LAK,20222023,D,72,200
8482730,Brandt,Clarke,LAK,20222023,D,74,185
8474563,Drew,Doughty,LAK,20222023,D,73,210
8480434,Sean,Durzi,LAK,20222023,D,72,195
8471303,Alexander,Edler,LAK,20222023,D,76,210
8478882,Vladislav,Gavrikov,LAK,20222023,D,75,221
8479421,Jacob,Moverare,LAK,20222023,D,75,210
8478911,Matt,Roy,LAK,20222023,D,73,205
8481606,Jordan,Spence,LAK,20222023,D,70,180
8480336,Sean,Walker,LAK,20222023,D,71,195
8477831,Pheonix,Copley,LAK,20222023,G,76,200
8476914,Joonas,Korpisalo,LAK,20222023,G,75,193
8477361,Cal,Petersen,LAK,20222023,G,74,185
8471734,Jonathan,Quick,LAK,20222023,G,73,220
8482496,Nils,Aman,VAN,20222023,C,74,179
8478463,Anthony,Beauvillier,VAN,20222023,L,71,180
8478444,Brock,Boeser,VAN,20222023,R,73,208
8476858,Phillip,Di Giuseppe,VAN,20222023,L,72,193
8480326,Sheldon,Dries,VAN,20222023,C,69,180
8478856,Conor,Garland,VAN,20222023,R,70,165
8481535,Nils,Hoglander,VAN,20222023,L,69,185
8477500,Bo,Horvat,VAN,20222023,C,72,215
8478057,Dakota,Joshua,VAN,20222023,C,75,206
8480833,Vitali,Kravtsov,VAN,20222023,R,75,186
8483808,Andrei,Kuzmenko,VAN,20222023,L,71,194
8477508,Curtis,Lazar,VAN,20222023,C,72,203
8479367,William,Lockwood,VAN,20222023,R,71,172
8481683,Aidan,McDonough,VAN,20222023,L,75,190
8481624,Ilya,Mikheyev,VAN,20222023,R,74,192
8476468,J.T.,Miller,VAN,20222023,C,73,218
8476871,Tanner,Pearson,VAN,20222023,L,73,201
8478967,Lane,Pederson,VAN,20222023,C,72,192
8480012,Elias,Pettersson,VAN,20222023,C,74,176
8481617,Vasily,Podkolzin,VAN,20222023,R,73,190
8482691,Aatu,Raty,VAN,20222023,C,74,190
8480021,Jack,Studnicka,VAN,20222023,C,73,187
8478451,Ethan,Bear,VAN,20222023,D,71,197
8478465,Guillaume,Brisebois,VAN,20222023,D,74,175
8477335,Kyle,Burroughs,VAN,20222023,D,72,193
8478408,Travis,Dermott,VAN,20222023,D,72,202
8475171,Oliver,Ekman-Larsson,VAN,20222023,D,74,200
8484254,Akito,Hirose,VAN,20222023,D,72,170
8479425,Filip,Hronek,VAN,20222023,D,72,190
8480800,Quinn,Hughes,VAN,20222023,D,70,180
8478454,Noah,Juulsen,VAN,20222023,D,74,201
8484287,Cole,McWard,VAN,20222023,D,73,192
8474574,Tyler,Myers,VAN,20222023,D,80,229
8477359,Tucker,Poolman,VAN,20222023,D,74,199
8480056,Jack,Rathbone,VAN,20222023,D,70,177
8474568,Luke,Schenn,VAN,20222023,D,74,225
8479388,Riley,Stillman,VAN,20222023,D,73,196
8478846,Christian,Wolanin,VAN,20222023,D,74,190
8480420,Collin,Delia,VAN,20222023,G,74,208
8477967,Thatcher,Demko,VAN,20222023,G,76,192
8477484,Spencer,Martin,VAN,20222023,G,75,191
8481668,Arturs,Silovs,VAN,20222023,G,76,203
8479335,Rasmus,Asplund,BUF,20222023,C,71,185
8478075,Anders,Bjork,BUF,20222023,L,72,190
8481528,Dylan,Cozens,BUF,20222023,C,75,195
8476878,Zemgus,Girgensons,BUF,20222023,L,74,200
8478413,Jordan,Greenway,BUF,20222023,L,78,231
8476994,Vinnie,Hinostroza,BUF,20222023,C,70,183
8479370,Tyson,Jost,BUF,20222023,C,71,187
8481522,Peyton,Krebs,BUF,20222023,C,72,187
8479999,Casey,Mittelstadt,BUF,20222023,C,73,195
8473449,Kyle,Okposo,BUF,20222023,R,72,218
8478109,Victor,Olofsson,BUF,20222023,L,71,181
8482175,JJ,Peterka,BUF,20222023,R,72,189
8482097,Jack,Quinn,BUF,20222023,R,73,185
8481751,Lukas,Rousek,BUF,20222023,R,71,171
8475772,Riley,Sheahan,BUF,20222023,C,74,214
8475784,Jeff,Skinner,BUF,20222023,L,71,197
8479420,Tage,Thompson,BUF,20222023,C,78,220
8477949,Alex,Tuch,BUF,20222023,R,76,219
8480196,Jacob,Bryson,BUF,20222023,D,69,176
8479348,Kale,Clague,BUF,20222023,D,72,190
8480839,Rasmus,Dahlin,BUF,20222023,D,75,202
8479602,Jeremy,Davies,BUF,20222023,D,71,180
8479578,Casey,Fitzgerald,BUF,20222023,D,71,188
8480035,Henri,Jokiharju,BUF,20222023,D,72,200
8480950,Ilya,Lyubushkin,BUF,20222023,D,74,200
8480935,Lawrence,Pilut,BUF,20222023,D,71,194
8482671,Owen,Power,BUF,20222023,D,78,218
8480807,Mattias,Samuelsson,BUF,20222023,D,76,231
8479388,Riley,Stillman,BUF,20222023,D,73,196
8467950,Craig,Anderson,BUF,20222023,G,74,187
8477480,Eric,Comrie,BUF,20222023,G,73,183
8482221,Devon,Levi,BUF,20222023,G,72,184
8480045,Ukko-Pekka,Luukkonen,BUF,20222023,G,77,217
8481690,Tyler,Angle,CBJ,20222023,C,70,166
8480205,Emil,Bemstrom,CBJ,20222023,R,72,195
8482475,Yegor,Chinakhov,CBJ,20222023,R,73,204
8479941,Justin,Danforth,CBJ,20222023,R,69,190
8482623,Josh,Dunne,CBJ,20222023,C,76,211
8480441,Trey,Fix-Wolansky,CBJ,20222023,R,67,191
8480853,Liam,Foudy,CBJ,20222023,C,74,188
8476346,Johnny,Gaudreau,CBJ,20222023,L,69,165
8476867,Brendan,Gaunce,CBJ,20222023,C,75,219
8476432,Boone,Jenner,CBJ,20222023,C,74,203
8482660,Kent,Johnson,CBJ,20222023,C,72,175
8476374,Sean,Kuraly,CBJ,20222023,C,74,213
8479339,Patrik,Laine,CBJ,20222023,L,77,205
8481649,Joona,Luoto,CBJ,20222023,L,75,210
8480893,Kirill,Marchenko,CBJ,20222023,R,75,197
8484125,Hunter,McKown,CBJ,20222023,C,73,205
8480292,Carson,Meyer,CBJ,20222023,R,71,184
8474679,Gustav,Nyquist,CBJ,20222023,L,71,180
8479671,Mathieu,Olivier,CBJ,20222023,R,73,217
8478967,Lane,Pederson,CBJ,20222023,C,72,192
8482451,Mikael,Pyyhtia,CBJ,20222023,L,72,166
8482179,Justin,Richards,CBJ,20222023,C,71,190
8480762,Eric,Robinson,CBJ,20222023,L,74,205
8478458,Jack,Roslovic,CBJ,20222023,C,73,200
8482705,Cole,Sillinger,CBJ,20222023,C,73,201
8474161,Jakub,Voracek,CBJ,20222023,R,74,216
8479945,Gavin,Bayreuther,CBJ,20222023,D,73,196
8479402,Jake,Bean,CBJ,20222023,D,73,196
8481072,Tim,Berni,CBJ,20222023,D,72,192
8483620,Marcus,Bjork,CBJ,20222023,D,76,211
8483565,Nick,Blankenburg,CBJ,20222023,D,69,177
8480871,Adam,Boqvist,CBJ,20222023,D,72,182
8481161,Jake,Christiansen,CBJ,20222023,D,72,193
8478882,Vladislav,Gavrikov,CBJ,20222023,D,75,221
8475790,Erik,Gudbranson,CBJ,20222023,D,77,222
8483460,David,Jiricek,CBJ,20222023,D,76,199
